"haplotype_id"	"num_snps"	"s_1"	"s_2"	"s_3"	"s_4"	"s_5"	"s_6"	"s_7"	"s_8"	"s_9"	"s_10"	"median_s"
"2L.1"	2264	0.0384963141186443	0.0223555429328474	0.0379367082368127	0.0830680092440223	0.015129811205843	-0.0130774603572998	0.0646282569587316	0.0151939148771242	-0.0121795019559313	0.075966822799181	0.0301461255848301
"2L.8"	360	0.0238963296344441	0.0267226289098652	0.00878881264787587	0.0736639463680478	0.0464995923844026	-0.0353387562254243	0.0444172093836102	-0.00819604422933854	0.0293627515711258	0.103470184209265	0.0280426902404955
"2L.9"	31	0.0306378561335462	0.0493746621928314	0.00692969811452128	-0.00966611898133534	0.00490718855471194	0.0158522824626381	0.0575820821605564	0.0264030326710488	0.0475760252620765	0.0534140113258485	0.0285204444022975
"2L.10"	358	0.0406901015587755	0.0286620509004133	0.0173173179720986	0.0438402492645917	0.0563711068598852	-0.00674227512365713	-0.0150661707914352	0.0585661712257214	0.00839559965033195	0.0727820779431606	0.0346760762295944
"2L.11"	20	0.0357832713518064	NA	0.0597425504489129	0.0653273264932984	0.0158708107832176	0.0405881772521564	-0.0933042693902421	-0.0357507614413496	0.0454677497320995	0.051770567609435	0.0405881772521564
"2L.12"	216	0.0651383764789099	0.055756140816135	0.0569304174871115	0.0695728622358426	0.0488393176370661	-0.0283855779743384	0.077301778855046	NA	0.0633631683442323	0.0782998321516261	0.0633631683442323
"2L.13"	1616	0.0186147800041565	0.0543614374822234	0.0464115491091587	-0.00117394585911808	0.0516884880167969	0.0203796351276393	0.0196079679615835	0.00769135320675873	0.031809054293411	0.0402599388079943	0.0260943447105251
"2L.14"	75	0.0586792270190619	0.0559204708004832	0.0718372586313519	0.021743486651001	0.0484449592638993	-0.014529271282685	0.0597097356764855	0.0578911168319394	0.0202459764943938	0.0339586825111712	0.0521827150321912
"2L.15"	34	-0.0181251482445786	0.0659235873982026	0.0298495416123771	0.0279641997341699	0.0355648405591913	-0.0582953668587755	0.0295027258173283	0.0600773640720618	0.0225499331777462	0.014858577497264	0.0287334627757491
"2L.2R.16"	1620	0.025852586957591	0.0506159729917441	0.0592107344970889	0.0360377607132178	0.0221834265679663	-0.00309010346425887	0.0354706401232935	0.024240161197387	0.0209982264031011	0.0568949698118503	0.0306616135404423
"2L.2"	30	0.0749685490670348	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0749685490670348
"2L.3"	404	0.00182125340417096	0.0220149537728796	0.0246005010076243	0.0426726665535234	0.0587186973564394	0.0332131293523861	0.0439589526840662	0.074921568487748	0.0061528256535877	0.0363067341401559	0.034759931746271
"2L.4"	616	0.011326793734312	-0.0469718039301307	-0.0289068170422962	NA	NA	0.0492311181129637	0.0429284762768879	0.12884650466424	0.0201022984721869	-0.0211064792011494	0.0157145461032494
"2L.5"	21	0.0457039486629312	0.0352335429278549	0.0285780450920448	0.0608344752704309	0.00964345856806981	0.0236109520276889	0.030423763684209	0.0536098133910674	0.00587495992801039	0.0933234689901142	0.032828653306032
"2L.7"	26	0.0158720649474472	0.0070678590535299	0.0675384845593396	0.0210501902046624	0.0483826034861014	0.00466491333158286	0.0454322829606774	0.0440034753419501	-0.00792774098502391	0.0109039812540995	0.0184611275760548
"2L.6"	29	-0.0394851572822945	0.0213951295390798	-0.0572167004581496	0.00192021140596347	0.0328523887759854	0.0193272831750981	0.0462957518818445	0.0586945852963156	0.0613753586981521	0.0387716936601894	0.0271237591575326
"2R.17"	602	0.00967984641603625	0.0641448760408372	0.0886558466681238	-0.00359258851108841	0.0468654889248085	NA	0.000520499782512625	-0.00287225364639826	0.0552189126221422	0.0531327677046933	0.0468654889248085
"2R.27"	29	-0.0109167855546151	0.0193931678411284	0.0345013161550166	-0.0203403764760886	0.0250653659318891	0.00175022465022386	0.0856688152709436	0.0569819842053248	-0.0189525500289054	-0.0109549353678433	0.0105716962456761
"2R.28"	275	-0.0100849661264038	0.0590436879451756	0.0416708727947688	0.0454434947631731	-0.0503375160474285	-0.0503006388229018	0.0218648210520967	0.0347472576774822	0.0731377794922182	0.0648841907699176	0.0382090652361255
"2R.29"	28	0.0487821164918812	0.0514223083945581	0.0417689589588259	NA	0.0896003005057078	NA	0.0636221500374647	NA	0.0809456043182622	-0.020890592602838	0.0514223083945581
"2R.30"	62	0.0108999161304397	0.0897824481439253	NA	0.0486469075815548	0.0471641114799122	NA	0.0339791245928586	0.103718905279008	0.0630258580354451	0.0738380335715806	0.0558363828085
"2R.31"	22	NA	NA	NA	NA	NA	0.070009274036033	0.143417646245349	NA	0.149754790952202	NA	0.143417646245349
